,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Id,LotFrontage,LotArea,Street,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice,TotalBathroom,TotalPorch,Remodel,Age,IsNew,NeighborType,TotalArea,MSSubClass_1 story 1946+,MSSubClass_1 story PUD 1946+,"MSSubClass_1,5 story fin","MSSubClass_1,5 story unf",MSSubClass_2 family conversion,MSSubClass_2 story 1945-,MSSubClass_2 story 1946+,MSSubClass_2 story PUD 1946+,"MSSubClass_2,5 story all ages",MSSubClass_duplex all style/age,MSSubClass_split foyer,MSSubClass_split/multi level,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_Inside,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition2_Norm,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofMatl_CompShg,RoofMatl_Tar&Grv,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Heating_GasA,Heating_GasW,Electrical_FuseA,Electrical_FuseF,Electrical_SBrkr,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_Detchd,Fence_GdWo,Fence_MnPrv,Fence_MnWw,MiscFeature_Shed,SaleType_New,SaleType_WD,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
10,10,10,10,10,10,11,70.0,11200,1,3,2,5,5,1965,1965,0,0.0,3,3,3,3,1,3,906,1,0,134,1040,5,1,1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,0,0,2,2008,129500,2.0,0,0,43,0,1,2080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
11,11,11,11,11,11,12,85.0,11924,1,2,2,9,5,2005,2006,2,286.0,5,3,5,3,1,6,998,1,0,177,1175,5,1,1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,0,0,7,2006,345000,4.0,21,1,0,0,2,3499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
12,12,12,12,12,12,13,71.0,12968,1,1,2,5,6,1962,1962,0,0.0,3,3,3,3,1,5,737,1,0,175,912,3,1,912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,1962.0,1,1,352,3,3,2,140,0,0,0,176,0,0,0,9,2008,144000,2.0,176,0,46,0,1,1824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13,13,13,13,13,13,14,91.0,10652,1,2,2,7,5,2006,2007,2,306.0,4,3,4,3,3,1,0,1,0,1494,1494,5,1,1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,0,0,8,2007,279500,2.0,33,1,0,0,1,2988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
14,14,14,14,14,14,15,73.0,10920,1,2,2,6,5,1960,1960,1,212.0,3,3,3,3,1,4,733,1,0,520,1253,3,1,1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,0,0,5,2008,157000,2.5,389,0,48,0,1,2506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
15,15,15,15,15,15,16,51.0,6120,1,3,2,7,8,1929,2001,0,0.0,3,3,3,3,1,1,0,1,0,832,832,5,1,854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,0,0,7,2007,132000,1.0,112,1,6,0,1,1686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
16,16,16,16,16,16,17,73.0,11241,1,2,2,6,7,1970,1970,1,180.0,3,3,3,3,1,5,578,1,0,426,1004,5,1,1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,0,700,3,2010,149000,2.0,0,0,40,0,1,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
17,17,17,17,17,17,18,72.0,10791,1,3,2,4,5,1967,1967,0,0.0,3,3,0,0,0,0,0,0,0,0,0,3,1,1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,0,500,10,2006,90000,2.0,0,0,39,0,1,1296,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
18,18,18,18,18,18,19,66.0,13695,1,3,2,5,5,2004,2004,0,0.0,3,3,3,3,1,6,646,1,0,468,1114,5,1,1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,0,0,6,2008,159000,2.5,102,0,4,0,1,2228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
19,19,19,19,19,19,20,70.0,7560,1,3,2,5,6,1958,1965,0,0.0,3,3,3,3,1,2,504,1,0,525,1029,3,1,1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,0,0,5,2009,139000,1.0,0,1,44,0,1,2368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,20,20,20,20,20,21,101.0,14215,1,2,2,8,5,2005,2006,1,380.0,4,3,5,3,3,1,0,1,0,1158,1158,5,1,1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,0,0,11,2006,325300,3.5,154,1,0,0,2,3534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21,21,21,21,21,21,22,57.0,7449,1,3,2,7,7,1930,1950,0,0.0,3,3,3,3,1,1,0,1,0,637,637,5,1,1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,0,0,6,2007,139400,1.0,205,1,57,0,0,1745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
22,22,22,22,22,22,23,75.0,9742,1,3,2,8,5,2002,2002,1,281.0,4,3,4,3,1,1,0,1,0,1777,1777,5,1,1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,0,0,9,2008,230000,2.0,159,0,6,0,1,3572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
23,23,23,23,23,23,24,44.0,4224,1,3,2,5,7,1976,1976,0,0.0,3,3,4,3,1,6,840,1,0,200,1040,3,1,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,0,6,2007,129900,2.0,110,0,31,0,0,2100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
24,24,24,24,24,24,25,71.0,8246,1,2,2,5,8,1968,2001,0,0.0,3,4,3,3,2,3,188,5,668,204,1060,5,1,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,0,0,5,2010,154000,2.0,90,1,9,0,1,2120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
25,25,25,25,25,25,26,110.0,14230,1,3,2,8,5,2007,2007,2,640.0,4,3,4,3,1,1,0,1,0,1566,1566,5,1,1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,0,0,7,2009,256300,2.0,56,0,2,0,2,3166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
26,26,26,26,26,26,27,60.0,7200,1,3,2,5,7,1951,2000,0,0.0,3,3,3,3,2,4,234,3,486,180,900,3,1,900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,0,0,5,2010,134800,1.5,32,1,10,0,1,1800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
27,27,27,27,27,27,28,98.0,11478,1,3,2,8,5,2007,2008,2,200.0,4,3,5,3,1,6,1218,1,0,486,1704,5,1,1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,0,0,5,2010,306000,3.0,50,1,2,0,2,3408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
