,Id,BsmtQual_Mapping,BsmtCond_Mapping,BsmtExposure_Mapping,BsmtFinType1_Mapping,BsmtFinType2_Mapping,ExterQual_Mapping,ExterCond_Mapping,Electrical_Mapping,FireplaceQu_Mapping,Fence_Mapping,GarageQual_Mapping,GarageCond_Mapping,GarageFinish_Mapping,HeatingQC_Mapping,KitchenQual_Mapping,LotShape_Mapping,PoolQC_Mapping,Utilities_Mapping,MSSubClass_Recategory,MSZoning_Recategory,LotConfig_Recategory,BldgType_Recategory,Condition1_Recategory,Condition2_Recategory,Fence_Recategory,Functional_Recategory,HouseStyle_Recategory,RoofStyle_Recategory,RoofMatl_Recategory,MasVnrType_Recategory,GarageType_Recategory,GarageFinish_Recategory,SaleType_Recategory,SaleCondition_Recategory,OverallQual_Recategory,OverallCond_Recategory,LotFrontage,LotArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,Alley,LotShape,LandContour,LandSlope,Foundation,Heating,CentralAir,MiscFeature,SalePrice
10,11,3,3,1,3,1,3,3,5,0,0,3,3,1,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,5,70.0,11200,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965.0,1,384,0,0,0,0,0,0,0,2,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,129500
11,12,5,3,1,6,1,5,3,5,4,0,3,3,3,5,5,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,9,5,85.0,11924,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005.0,3,736,147,21,0,0,0,0,0,7,2006,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,345000
12,13,3,3,1,5,1,3,3,5,0,0,3,3,1,3,3,3,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,6,,12968,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1962.0,1,352,140,0,0,0,176,0,0,9,2008,Pave,,IR2,Lvl,Gtl,CBlock,GasA,Y,,144000
13,14,4,3,3,1,1,4,3,5,4,0,3,3,2,5,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,New,Nonormal,7,5,91.0,10652,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006.0,3,840,160,33,0,0,0,0,0,8,2007,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,279500
14,15,3,3,1,4,1,3,3,5,2,2,3,3,2,3,3,2,0,4,20,R,Corner,1Fam,Norm,Norm,GdWo,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,5,,10920,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960.0,1,352,0,213,176,0,0,0,0,5,2008,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,157000
15,16,3,3,1,1,1,3,3,4,0,4,3,3,1,5,3,1,0,4,45,R,Corner,1Fam,Norm,Norm,GdPrv,Typ,1.5Unf,NFlt,CompShg,None,Detchd,Unf,WD,Normal,7,8,51.0,6120,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,1991.0,2,576,48,112,0,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,132000
16,17,3,3,1,5,1,3,3,5,3,0,3,3,3,5,3,2,0,4,20,R,CulDSac,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,6,7,,11241,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970.0,2,480,0,0,0,0,0,0,700,3,2010,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,Shed,149000
17,18,0,0,0,0,0,3,3,5,0,0,3,3,1,3,3,1,0,4,90,R,Inside,Duplex,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,4,5,72.0,10791,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967.0,2,516,0,0,0,0,0,0,500,10,2006,Pave,,Reg,Lvl,Gtl,Slab,GasA,Y,Shed,90000
18,19,3,3,1,6,1,3,3,5,0,0,3,3,1,5,4,1,0,4,20,R,Inside,1Fam,RRAe,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,5,66.0,13695,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2004.0,2,576,0,102,0,0,0,0,0,6,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,159000
19,20,3,3,1,2,1,3,3,5,0,3,3,3,1,3,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Min1,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,COD,Abnorml,5,6,70.0,7560,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1958.0,1,294,0,0,0,0,0,0,0,5,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,139000
20,21,5,3,3,1,1,4,3,5,4,0,3,3,2,5,4,2,0,4,60,R,Corner,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,New,Nonormal,8,5,101.0,14215,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005.0,3,853,240,154,0,0,0,0,0,11,2006,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,325300
21,22,3,3,1,1,1,3,3,3,4,4,3,3,1,5,4,1,0,4,45,R,Inside,1Fam,Norm,Norm,GdPrv,Typ,1.5Unf,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,7,57.0,7449,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930.0,1,280,0,0,205,0,0,0,0,6,2007,Pave,Grvl,Reg,Bnk,Gtl,PConc,GasA,Y,,139400
22,23,4,3,1,1,1,4,3,5,4,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,75.0,9742,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002.0,2,534,171,159,0,0,0,0,0,9,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,230000
23,24,4,3,1,6,1,3,3,5,3,0,3,3,1,3,3,1,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,7,44.0,4224,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976.0,2,572,100,110,0,0,0,0,0,6,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,129900
24,25,3,3,2,3,5,3,4,5,3,3,3,3,1,5,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,8,,8246,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1968.0,1,270,406,90,0,0,0,0,0,5,2010,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,154000
25,26,4,3,1,1,1,4,3,5,4,0,3,3,2,5,4,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,110.0,14230,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2007.0,3,890,0,56,0,0,0,0,0,7,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,256300
26,27,3,3,2,4,3,3,3,5,0,0,3,3,1,3,4,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,7,60.0,7200,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2005.0,2,576,222,32,0,0,0,0,0,5,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,134800
27,28,5,3,1,6,1,4,3,5,4,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,98.0,11478,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008.0,3,772,0,50,0,0,0,0,0,5,2010,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,306000
28,29,3,3,4,4,1,3,3,5,4,0,3,3,2,3,3,2,0,4,20,R,CulDSac,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,47.0,16321,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1957.0,1,319,288,258,0,0,0,0,0,12,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,207500
29,30,3,3,1,1,1,3,3,5,0,0,2,3,1,2,2,2,0,4,30,R,Inside,1Fam,Feedr,RRNn,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,4,6,60.0,6324,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1920.0,1,240,49,0,87,0,0,0,0,5,2008,Pave,,IR1,Lvl,Gtl,BrkTil,GasA,N,,68500
30,31,3,3,1,1,1,3,2,5,0,3,3,2,1,3,3,1,0,4,70,C (all),Inside,1Fam,Feedr,Norm,MnPrv,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,4,4,50.0,8500,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1920.0,1,250,0,54,172,0,0,0,0,7,2008,Pave,Pave,Reg,Lvl,Gtl,BrkTil,GasA,N,,40000
31,32,3,3,1,1,1,3,3,5,0,3,3,3,1,4,4,2,0,4,20,R,CulDSac,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,,8544,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1966.0,1,271,0,65,0,0,0,0,0,6,2008,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,149350
32,33,5,3,3,1,1,4,3,5,0,0,3,3,2,5,4,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,8,5,85.0,11049,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2007.0,2,484,0,30,0,0,0,0,0,1,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,179900
33,34,3,3,1,3,1,3,3,5,4,0,3,3,2,4,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,5,70.0,10552,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959.0,2,447,0,38,0,0,0,0,0,4,2010,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,165500
34,35,5,3,1,6,1,5,3,5,4,0,3,3,3,5,5,1,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,9,5,60.0,7313,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2005.0,2,556,203,47,0,0,0,0,0,8,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,277500
35,36,5,3,3,1,1,4,3,5,4,0,3,3,3,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,8,5,108.0,13418,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004.0,3,691,113,32,0,0,0,0,0,9,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,309000
36,37,4,3,1,1,1,3,3,5,0,0,3,3,1,5,3,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,5,112.0,10859,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,1995.0,2,672,392,64,0,0,0,0,0,6,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,145000
37,38,3,3,1,3,1,3,3,5,3,0,3,3,3,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,5,6,74.0,8532,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,1954.0,2,498,0,0,0,0,0,0,0,10,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,153000
38,39,3,3,1,6,1,3,4,5,0,0,3,3,1,3,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Abnorml,5,7,68.0,7922,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1953.0,1,246,0,52,0,0,0,0,0,1,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,109000
39,40,0,0,0,0,0,3,3,2,0,0,0,0,0,3,2,1,0,4,90,R,Inside,Duplex,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,,,WD,Nonormal,4,5,65.0,6040,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,,0,0,0,0,0,0,0,0,0,6,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,N,,82000
40,41,3,3,1,3,1,3,3,5,3,2,3,3,2,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,GdWo,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Abnorml,6,5,84.0,8658,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,1965.0,2,440,0,138,0,0,0,0,0,12,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,160000
41,42,3,3,4,4,1,3,4,5,4,0,3,3,2,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,115.0,16905,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1959.0,1,308,0,104,0,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,170000
42,43,4,3,3,5,2,3,3,5,0,3,3,4,2,4,4,2,0,4,85,R,CulDSac,1Fam,Norm,Norm,MnPrv,Typ,SFoyer,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,7,,9180,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,1983.0,2,504,240,0,0,0,0,0,0,12,2007,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,144000
43,44,4,3,3,2,4,3,3,5,0,3,3,3,1,3,3,2,0,4,20,R,CulDSac,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,6,,9200,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1977.0,1,308,145,0,0,0,0,0,0,7,2008,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,130250
44,45,3,3,1,5,4,3,3,4,0,0,3,3,2,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,70.0,7945,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1959.0,1,300,0,0,0,0,0,0,0,5,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,141000
45,46,5,3,1,6,1,5,3,5,4,0,3,3,2,5,5,1,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,9,5,61.0,7658,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005.0,2,576,196,82,0,0,0,0,0,2,2010,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,319900
46,47,5,3,1,6,1,4,3,5,5,0,3,3,2,5,4,2,0,4,50,R,CulDSac,1Fam,Norm,Norm,,Typ,1.5Fin,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Abnorml,7,5,48.0,12822,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2003.0,2,670,168,43,0,0,198,0,0,8,2009,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,239686
47,48,4,3,3,6,1,4,3,5,0,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,8,5,84.0,11096,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006.0,3,826,0,146,0,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,249700
48,49,3,3,1,1,1,3,3,5,0,0,0,0,0,4,3,1,0,4,190,R,Inside,2fmCon,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,,,New,Nonormal,4,5,33.0,4456,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,,0,0,0,0,102,0,0,0,0,6,2009,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,113000
49,50,3,3,1,4,1,3,3,5,0,3,3,3,1,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,7,66.0,7742,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1966.0,1,386,0,0,0,0,0,0,0,1,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,127000
50,51,4,3,3,6,1,3,3,5,0,0,3,3,3,4,3,3,0,4,60,R,Corner,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Normal,6,6,,13869,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,1997.0,2,388,0,75,0,0,0,0,0,7,2007,Pave,,IR2,Lvl,Gtl,PConc,GasA,Y,,177000
51,52,3,3,1,1,1,3,3,5,4,3,3,3,1,3,3,1,0,4,50,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,6,6,52.0,6240,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,1985.0,2,528,112,0,0,0,0,0,400,9,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,Shed,114500
52,53,4,3,4,2,6,2,3,5,0,0,3,3,1,3,3,3,0,4,90,R,Corner,Duplex,RRNn,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,5,110.0,8472,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,1963.0,2,516,106,0,0,0,0,0,0,5,2010,Grvl,,IR2,Bnk,Mod,CBlock,GasA,N,,110000
53,54,5,3,4,6,1,4,3,5,4,0,3,3,3,4,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,NComp,None,BuiltInGarage,Fin,WD,Normal,9,5,68.0,50271,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,1981.0,3,894,857,72,0,0,0,0,0,11,2006,Pave,,IR1,Low,Gtl,CBlock,GasA,Y,,385000
54,55,3,3,1,5,1,3,3,5,3,3,3,3,1,3,3,1,0,4,80,R,Inside,1Fam,Norm,Norm,MnPrv,Min1,SLvl,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,5,60.0,7134,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,1962.0,2,572,0,50,0,0,0,0,0,2,2007,Pave,,Reg,Bnk,Mod,CBlock,GasA,Y,,130000
55,56,3,3,1,4,1,3,3,5,4,0,3,3,2,4,3,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,5,100.0,10175,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,1964.0,2,576,0,0,0,407,0,0,0,7,2008,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,180500
56,57,4,3,1,6,1,4,3,5,0,0,3,3,3,5,4,1,0,4,160,R,Inside,Twnhs,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Abnorml,8,5,24.0,2645,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,1999.0,2,480,115,0,0,0,0,0,0,8,2009,Pave,Pave,Reg,Lvl,Gtl,PConc,GasA,Y,,172500
57,58,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,2,0,4,60,R,Corner,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,89.0,11645,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2004.0,2,565,0,70,0,0,0,0,0,8,2006,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,196500
58,59,5,3,4,1,1,5,3,5,4,0,3,3,3,5,4,3,0,4,60,R,CulDSac,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,10,5,66.0,13682,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,2006.0,3,641,192,0,37,0,0,0,0,10,2006,Pave,,IR2,HLS,Gtl,PConc,GasA,Y,,438780
59,60,3,3,3,5,1,3,3,5,0,3,3,3,1,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,7,60.0,7200,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1973.0,1,352,196,0,0,0,0,0,0,1,2008,Pave,,Reg,Bnk,Gtl,CBlock,GasA,Y,,124900
